address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
10 Yishun St 22 Singapore 768579,,Not applicable,Not applicable,Church of Our Lady Star of the Sea,Religious,Exempt,T08CC4039G,http://www.olss.sg
25 Woodlands Ave 1 Singapore 739064,,Not applicable,Not applicable,Church of St Anthony,Religious,Exempt,T08CC4040D,http://saint-anthony.org
12 Zion Rd Singapore 247731,,Not applicable,Not applicable,Church of St Bernadette,Religious,Exempt,T08CC4027K,http://www.stbernadette.org.sg
200 Boon Lay Ave Singapore 649964,,Not applicable,Not applicable,Church of St Francis of Assisi,Religious,Exempt,T08CC4051E,http://www.sfa-parish.org.sg
63A Chartwell Dr Singapore 558758,,Not applicable,Not applicable,Church of St Francis Xavier,Religious,Exempt,T08CC4033J,http://sfxchurch.sg
120 King's Rd Singapore 268172,,Not applicable,Not applicable,Church of St Ignatius,Religious,Exempt,T08CC4052A,http://www.stignatius.org.sg
5 Bukit Batok East Ave 2 Singapore 659918,,Not applicable,Not applicable,Church of St Mary Of The Angels,Religious,Exempt,T08CC4053H,http://www.stmary.sg
17 St Michael's Rd Singapore 327976,,Not applicable,Not applicable,Church of St Michael,Religious,Exempt,T08CC4028F,http://www.saintmichael.sg
30 Sallim Rd Singapore 387639,,Not applicable,Not applicable,Church of St Stephen,Religious,Exempt,T08CC4047J,http://www.ststephen.sg
510 Kampong Bahru Rd Singapore 099446,,Not applicable,Not applicable,Church of St Teresa,Religious,Exempt,T08CC4029B,http://stteresa.org.sg
301 Yio Chu Kang Rd Singapore 805910,,Not applicable,Not applicable,Church of St Vincent De Paul,Religious,Exempt,T08CC4034E,http://www.svdp.sg
225A Queen St Singapore 188551,,Not applicable,Not applicable,Church of Sts Peter & Paul,Religious,Exempt,T08CC4030K,http://www.sppchurch.org.sg
13 FRANCIS THOMAS DRIVE Singapore 359339,,Not applicable,Not applicable,CHURCH OF THE ASCENSION,Religious,Exempt,T08CC4066A,http://www.ascension.org.sg
2 Dundee Road Singapore 149454,,Not applicable,Not applicable,Church of the Good Shepherd,,Exempt,T08CC4068D,http://goodshepherdsingapore.com/
450 Clementi Ave 1 Singapore 129955,,Not applicable,Not applicable,Church of the Holy Cross,Religious,Exempt,T08CC4054D,http://www.holycross.org.sg
6 Chapel Rd Singapore 429509,,Not applicable,Not applicable,Church of the Holy Family,Religious,Exempt,T08CC4048E,http://www.holyfamily.org.sg
248 Upp Thomson Rd Singapore 574371,,Not applicable,Not applicable,Church of the Holy Spirit,Religious,Exempt,T08CC4041L,http://www.holyspirit.sg
20 Tampines St 11 Singapore 529455,,Not applicable,Not applicable,Church of the Holy Trinity,Religious,Exempt,T08CC4049A,http://www.holytrinity.org.sg
24 Highland Rd Singapore 549115,,Not applicable,Not applicable,Church of the Immaculate Heart of Mary,Religious,Exempt,T08CC4035A,http://www.ihm.sg
1259 Upp Serangoon Rd Singapore 534795,,Not applicable,Not applicable,Church of the Nativity of the Blessed Virgin Mary,Religious,Exempt,T08CC4036H,http://nativity.sg
91 Toa Payoh Central Singapore 319193,,Not applicable,Not applicable,Church of the Risen Christ,Religious,Exempt,T08CC4042G,http://www.risenchrist.org.sg
111 Tank Rd Singapore 238069,,Not applicable,Not applicable,Church of the Sacred Heart,Religious,Exempt,T08CC4031F,http://www.churchofthesacredheart.sg
51 Punggol Central Singapore 828725,,Not applicable,Not applicable,Church of the Transfiguration,Religious,Exempt,T15CC0001D,http://www.transfiguration.sg
25G Perak Road Singapore 208142,,Not applicable,Not applicable,Church of the True Light,Religious,Exempt,T08CC4069L,http://www.truelight.org.sg
11 CHOA CHU KANG ST 52 Singapore 689285,,Not applicable,Not applicable,DE LA SALLE SCHOOL,Education,Exempt,T07GS5008B,http://www.delasalle.moe.edu.sg
1 NORTH BUONA VISTA DRIVE #9-0 Singapore 138675,,From 02/12/2016 To 01/12/2021,Live,EDUCATION FUND,Education,Exempt,T06CC3002H,https://www.moe.gov.sg/about/org-structure/fdd/education-fund
100 DOVER ROAD Singapore 139648,,Not applicable,Not applicable,FAIRFIELD METHODIST SCHOOL (PRIMARY),Education,Exempt,T07GS5020L,http://www.fmps.moe.edu.sg
102 Dover Road Singapore 139649,,Not applicable,Not applicable,FAIRFIELD METHODIST SCHOOL (SECONDARY),Education,Exempt,T07GS7309H,http://www.fairfieldsec.org
4 Geylang East Central Singapore 389706,,Not applicable,Not applicable,GEYLANG METHODIST SCHOOL (PRIMARY),Education,Exempt,T07GS5022C,http://www.geylangmethodistpri.moe.edu.sg
3 GEYLANG BAHRU LANE Singapore 339626,,Not applicable,Not applicable,GEYLANG METHODIST SCHOOL (SECONDARY),Education,Exempt,T07GS7005G,http://www.geylangmethodistsec.moe.edu.sg
9 PASIR RIS DRIVE 6 Singapore 519421,,Not applicable,Not applicable,HAI SING CATHOLIC SCHOOL,Education,Exempt,T07GS7031E,http://www.haisingcatholic.moe.edu.sg/
397 Serangoon Road Singapore 218123,,Not applicable,Not applicable,Hindu Endowments Board,Religious,Exempt,T08GB0016C,http://www.heb.gov.sg/
1191 UPPER SERANGOON ROAD Singapore 534786,,Not applicable,Not applicable,HOLY INNOCENTS' HIGH SCHOOL,Education,Exempt,T07GS7108H,http://www.holyinnocentshigh.moe.edu.sg
5 LORONG LOW KOON Singapore 536451,,Not applicable,Not applicable,HOLY INNOCENTS' PRIMARY SCHOOL,Education,Exempt,T07GS5634A,http://schools.moe.edu.sg//hips/
1 Hamilton Road Holy Trinity Church Singapore 209175,,Not applicable,Not applicable,Holy Trinity Church,Religious,Exempt,T08CC4070H,http://www.holytrinitychurch.org.sg
508 VICTORIA STREET Singapore 198372,,Not applicable,Not applicable,HONG WEN SCHOOL,Education,Exempt,T07GS5626K,http://schools.moe.edu.sg/hw/
661 Bukit Timah Road Singapore 269734,,Not applicable,Not applicable,HWA CHONG INSTITUTION,Education,Exempt,T07GS0806E,http://www.hwachong.edu.sg
2 ANG MO KIO DRIVE ITE COLLEGE CENTRAL Singapore 567720,,Not applicable,Not applicable,Institute of Technical Education,Education,Exempt,T08GB0022B,http://www.ite.edu.sg
30 HENG MUI KENG TERRACE Singapore 119614,,Not applicable,Not applicable,ISEAS - Yusof Ishak Institute,Education,Exempt,T08GB0021F,http://www.iseas.edu.sg/ipc.html
30 HENG MUI KENG TERRACE Singapore 119614,,From 01/04/2015 To 31/03/2018,Live,ISEAS RESEARCH FUNDS,Education,Exempt,T08CC3005F,http://www.iseas.edu.sg
2 ANG MO KIO DRIVE Singapore 567720,,From 01/04/2016 To 31/03/2019,Live,ITE EDUCATION FUND (ITEEF),Education,Exempt,T08CC3006B,Not applicable
15 LORONG 3 TOA PAYOH Singapore 319580,,Not applicable,Not applicable,KHENG CHENG SCHOOL,Education,Exempt,T07GS5608C,www.khengcheng.moe.edu.sg
350 GUILLEMARD ROAD Singapore 399772,,Not applicable,Not applicable,KONG HWA SCHOOL,Education,Exempt,T07GS5168A,http://schools.moe.edu.sg/khs
8 BISHAN STREET 13 Singapore 579793,,Not applicable,Not applicable,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,Education,Exempt,T07GS5024F,http://schools.moe.edu.sg/kcpps
10 Bishan St 13 Kuo Chuan Presbyterian Sec Sch Singapore 579795,,Not applicable,Not applicable,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,Education,Exempt,T07GS7028E,http://www.kcpss.moe.edu.sg
47A La Salle Street MEP House Singapore 456947,,Not applicable,Not applicable,La Societe des Missions Etrangeres,Religious,Exempt,T08CC4019H,Not applicable
26 Waterloo Street Singapore 187950,,Not applicable,Not applicable,Maghain Aboth Synagogue,Religious,Exempt,T08CC4011G,http://www.singaporejews.com
10 UBI AVENUE 1 Singapore 408931,,Not applicable,Not applicable,MAHA BODHI SCHOOL,Education,Exempt,T07GS5601J,http://schools.moe.edu.sg/mbs/
20 Ubi Avenue 1 Singapore 408940,,Not applicable,Not applicable,MANJUSRI SECONDARY SCHOOL,Education,Exempt,T07GS7307E,Not applicable
100 Tembeling Road Singapore 423597,,Not applicable,Not applicable,Marine Parade Christian Centre,Religious,Exempt,T08CC4072L,http://www.mpccnet.com
25 MOUNT VERNON ROAD Singapore 368051,,Not applicable,Not applicable,MARIS STELLA HIGH SCHOOL,Education,Exempt,T07GS7111H,http://www.marisstellahigh.moe.edu.sg/
20 MARYMOUNT ROAD Singapore 297754,,Not applicable,Not applicable,MARYMOUNT CONVENT SCHOOL,Education,Exempt,T07GS7301G,HTTP://WWW.MARYMOUNTCONVENT.MOE.EDU.SG/MAIN.HTML
21 EDGEDALE PLAINS Singapore 828867,,Not applicable,Not applicable,MEE TOH SCHOOL,Education,Exempt,T07GS5183J,http://schools.moe.edu.sg/mts
11 Blackmore Drive Singapore 599986,,Not applicable,Not applicable,METHODIST GIRLS' SCHOOL (PRIMARY),Education,Exempt,T07GS5027E,Not applicable
11 BLACKMORE DRIVE Singapore 599986,,Not applicable,Not applicable,METHODIST GIRLS' SCHOOL (SECONDARY),Education,Exempt,T07GS7030J,http://www.mgs.sch.edu.sg/
52 HOUGANG AVENUE 8 Singapore 538786,,Not applicable,Not applicable,MONTFORT JUNIOR SCHOOL,Education,Exempt,T07GS5018G,http://schools.moe.edu.sg/mjs/
50 HOUGANG AVENUE 8 Singapore 538785,,Not applicable,Not applicable,MONTFORT SECONDARY SCHOOL,Education,Exempt,T07GS7011F,http://schools.moe.edu.sg/montfort_sec
820 Thomson Road Mount Alvernia Hospital Singapore 574623,,Not applicable,Not applicable,MOUNT ALVERNIA HOSPITAL,Health,Exempt,T08CC4085D,http://www.mtalvernia.sg
2 Prince Charles Crescent Singapore 159011,,Not applicable,Not applicable,My Saviour's Church,Religious,Exempt,T08CC4073G,Not applicable
20 ANCHORVALE LINK Singapore 545079,,Not applicable,Not applicable,NAN CHIAU HIGH SCHOOL,Education,Exempt,T07GS7112D,http://www.nanchiauhigh.moe.edu.sg
