address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
2 TAMPINES AVENUE 3 Singapore 529706,,Not applicable,Not applicable,ST. HILDA'S PRIMARY SCHOOL,Education,Exempt,T07GS5025B,http://schools.moe.edu.sg/hildanark
2 TAMPINES STREET 82 Singapore 528986,,Not applicable,Not applicable,ST. HILDA'S SECONDARY SCHOOL,Education,Exempt,T07GS7029A,http://www.sthildassec.moe.edu.sg
38 MALCOLM ROAD Singapore 308274,,Not applicable,Not applicable,ST. JOSEPH'S INSTITUTION,Education,Exempt,T07GS7020D,http://www.stjosephsinstitution.moe.edu.sg
3 ESSEX ROAD Singapore 309331,,Not applicable,Not applicable,ST. JOSEPH'S INSTITUTION JUNIOR,Education,Exempt,T07GS5014A,http://www.stmichaels.moe.edu.sg
99 WILKIE ROAD Singapore 228091,,Not applicable,Not applicable,ST. MARGARET'S PRIMARY SCHOOL,Education,Exempt,T07GS5013E,http://www.stmargaretspri.moe.edu.sg
111 FARRER ROAD Singapore 259240,,Not applicable,Not applicable,ST. MARGARET'S SECONDARY SCHOOL,Education,Exempt,T07GS7021L,http://www.stmargaretssec.moe.edu.sg
490 EAST COAST ROAD Singapore 429058,,Not applicable,Not applicable,ST. PATRICK'S SCHOOL,Education,Exempt,T07GS7022G,http://schools.moe.edu.sg/stpats/
20 SIGLAP VIEW Singapore 455789,,Not applicable,Not applicable,ST. STEPHEN'S SCHOOL,Education,Exempt,T07GS5015H,http://www.ststephens.moe.edu.sg
90 Goodman Road #01-01 Goodman Arts Centre Blk A Singapore 439053,,From 01/08/2017 To 31/07/2020,Live,SUPPORT FOR THE ARTS FUND,Arts and Heritage,Exempt,T08CC3019F,http://www.nac.gov.sg
49 MARINE CRESCENT Singapore 449761,,Not applicable,Not applicable,TAO NAN SCHOOL,Education,Exempt,T07GS5240C,HTTP://SCHOOLS.MOE.EDU.SG/TNS
21 TAMPINES AVE 1 Singapore 529757,,Not applicable,Not applicable,Temasek Polytechnic,Education,Exempt,T08GB0062L,http://www.tp.edu.sg/
21 TAMPINES AVENUE 1 TEMASEK POLYTECHNIC Singapore 529757,,From 01/04/2016 To 31/03/2019,Live,TEMASEK POLYTECHNIC GENERAL EDUCATION FUND,Education,Exempt,T08CC3020C,http://www.tp.edu.sg
1 Francis Thomas Drive #1-01 St Andrew's Village Singapore 359340,,Not applicable,Not applicable,The Bishop of Singapore,Religious,Exempt,T08CC4018A,Not applicable
4A CHESTNUT DRIVE Singapore 679330,,Not applicable,Not applicable,The Lady Superior of the Convent of the Holy Infant Jesus in Penang,Religious,Exempt,T08CC4010L,http://www.chij-sisters.org
100 JALAN MERBOK Singapore 598454,,Not applicable,Not applicable,The Mother Superior of the Daughters of Charity of the Canossian Institute (Singapore),Religious,Exempt,T08CC4005H,http://www.canossians-sg.org
47A La Salle Street Singapore 456947,,Not applicable,Not applicable,The Procureur In Singapore Of La Societe Des Missions Etrangeres,Religious,Exempt,T08CC4019H,Not applicable
70 Barker Road Singapore 309936,,Not applicable,Not applicable,The Secretary of the Trustees of the Methodist Church in Singapore,Religious,Exempt,T08CC4020E,Not applicable
132 Sophia Road Singapore 228186,,Not applicable,Not applicable,The Senior Missionary In Singapore Of The Foreign Missions Of The Presbyterian Church Of England,Religious,Exempt,T08CC4021A,Not applicable
31 VICTORIA STREET Singapore 187997,,Not applicable,Not applicable,The Titular Roman Catholic Archbishop Of Singapore,Religious,Exempt,T08CC4023D,http://www.catholic.org.sg
624 UPPER BUKIT TIMAH ROAD BOYS' TOWN SINGAPORE Singapore 678212,,Not applicable,Not applicable,THE TITULAR SUPERIOR OF THE BROTHERS OF ST. GABRIEL IN SINGAPORE,Religious,Exempt,T08CC4001B,Not applicable
